windmill_id,wind_speed_3_avg,reactive_power_27_avg,sensor_2_avg,sensor_5_avg,sensor_18_avg,distance_from_centroid
comma_0,0.9,0.0,167.1,24.0,2.8,5.117331456531668
comma_0,2.1,0.0,151.1,24.0,57.0,4.596439117585324
comma_0,2.3,0.0,153.9,24.0,87.0,4.676845000656708
comma_0,17.9,0.0,-18.4,86.0,38.3,4.564213129389558
comma_0,18.0,0.0,-1.5,86.0,41.9,4.539159027052804
comma_0,19.9,0.0,-0.5,86.0,50.8,4.928421753172037
comma_0,18.6,0.0,7.6,86.0,44.9,4.660963466540526
comma_0,18.7,0.0,21.4,86.0,52.6,4.7133085555827625
comma_0,18.9,0.0,-6.5,86.0,49.1,4.72854854008797
comma_0,18.6,0.0,-3.5,86.0,46.7,4.662603856722418
comma_0,19.4,0.0,9.5,86.0,45.6,4.82769937698204
comma_0,19.6,0.0,10.4,86.0,45.0,4.87054635244288
comma_0,19.1,0.0,24.5,86.0,42.1,4.807809629870216
comma_0,19.8,0.0,1.5,86.0,43.1,4.907036054219193
comma_0,18.4,0.0,7.9,86.0,42.9,4.62067572440951
comma_0,20.6,0.0,0.5,86.0,45.7,5.075805437824187
comma_0,20.7,0.0,2.1,86.0,45.5,5.096598923050993
comma_0,19.9,0.0,-0.6000000000000001,86.0,48.8,4.92859975198041
comma_0,18.3,0.0,-4.7,86.0,41.3,4.603671581171615
comma_0,17.9,0.0,34.6,86.0,38.5,4.621638775726659
comma_0,18.6,0.0,2.4,86.0,46.4,4.658582456023243
comma_0,19.5,0.0,-17.4,86.0,46.7,4.883788999249741
comma_0,19.8,0.0,19.4,86.0,47.1,4.932983051396978
comma_0,19.3,0.0,-7.5,86.0,49.1,4.812874650586546
comma_0,19.3,0.0,-21.5,86.0,52.1,4.860074994573207
comma_0,18.9,0.0,-7.7,86.0,48.5,4.730963315323591
comma_0,18.4,0.0,18.4,86.0,47.1,4.642507565647241
comma_0,18.8,0.0,5.5,86.0,49.3,4.70002595351869
comma_0,18.8,0.0,0.5,86.0,41.4,4.700342816300849
comma_0,18.2,0.0,5.5,86.0,42.2,4.5782802317861995
comma_0,1.3,0.0,-165.0,24.0,0.0,5.213897302667994
comma_0,1.4,0.0,177.2,24.0,0.5,5.410297658601958
comma_0,1.2,0.0,-156.7,24.0,0.0,4.964579881365345
comma_0,17.7,0.0,-25.4,86.0,27.5,4.561325982186118
comma_0,17.7,0.0,-13.5,86.0,22.6,4.506473879449272
comma_0,18.6,0.0,14.5,86.0,34.6,4.673114852620226
comma_0,18.5,0.0,-4.5,86.0,35.7,4.644332315326268
comma_0,18.9,0.0,-3.5,86.0,33.4,4.724856345601223
comma_0,18.1,0.0,9.5,86.0,32.0,4.562648200402221
comma_0,18.5,0.0,-14.4,86.0,33.2,4.669156421900625
comma_0,17.6,0.0,-0.5,89.5,22.6,4.5702950049358115
comma_0,17.8,0.0,-8.5,89.5,22.4,4.621280643338284
comma_0,17.9,0.0,0.5,89.5,23.9,4.6281603198821735
comma_0,18.2,0.0,0.5,89.5,23.8,4.687194276930077
comma_0,18.6,0.0,0.4,89.5,22.6,4.766743299522621
comma_0,18.3,0.0,-8.5,89.5,22.8,4.719361903334359
comma_0,17.1,0.0,-13.5,89.5,23.4,4.500670577485844
comma_0,18.3,0.0,9.5,89.5,23.0,4.7109499888724935
comma_0,17.5,0.0,10.0,89.5,26.7,4.554764380216543
comma_0,17.3,0.0,11.5,89.5,25.3,4.5187470585149025
comma_0,17.3,0.0,-4.5,89.5,27.0,4.5163753661860735
comma_0,18.0,0.0,-21.4,89.5,26.7,4.706299187482473
comma_0,18.5,0.0,-2.5,89.5,25.0,4.748878400243319
comma_0,17.5,0.0,-12.5,89.5,24.2,4.573941781221342
comma_0,18.1,0.0,-6.5,89.5,23.6,4.67573041136393
comma_0,18.6,0.0,-19.4,89.5,22.7,4.814857345762174
comma_0,18.5,0.0,7.5,89.5,24.9,4.748230911830726
comma_0,17.3,0.0,-0.5,89.5,23.1,4.512212449825103
comma_0,17.6,0.0,-2.5,89.5,24.5,4.57193953404572
comma_0,17.9,0.0,2.5,89.5,23.5,4.627647805291006
comma_0,17.6,0.0,-3.5,89.5,22.8,4.573272381839307
comma_0,1.8,0.0,170.2,24.0,50.0,5.184863564778843
comma_0,3.8,0.0,-166.1,51.1,52.5,5.2753140003048715
comma_0,1.2,0.0,152.7,24.0,0.0,4.671718933165138
comma_0,0.8,0.0,-163.0,24.0,0.0,5.168024214158286
comma_0,1.1,0.0,-147.9,24.0,0.0,4.700869700774718
comma_0,1.5,0.0,-168.1,24.0,0.0,5.303178217040445
comma_0,1.6,0.0,-161.2,24.0,0.0,5.090829961643175
comma_0,1.4,0.0,-148.3,24.0,0.0,4.703975984297499
comma_0,2.4,0.0,-145.3,24.0,0.0,4.591153798783128
comma_0,1.3,0.0,-153.4,24.0,0.5,4.861515354050925
comma_0,1.6,0.0,-145.3,24.0,4.4,4.6071428022030165
comma_0,1.1,0.0,-168.0,24.0,0.0,5.310554583285429
comma_0,1.5,0.0,174.3,24.0,0.0,5.319663691178232
comma_0,1.7000000000000002,0.0,-146.1,24.0,0.0,4.629308818133624
comma_0,1.7000000000000002,0.0,-147.7,24.0,0.0,4.677925043345403
comma_0,2.4,0.0,156.0,89.6,0.0,5.534356199764772
comma_0,2.4,0.0,174.5,87.7,0.0,5.979399155327271
comma_0,2.2,0.0,-174.6,27.1,92.1,5.471868373421331
comma_0,2.3,0.0,174.1,24.0,129.9,5.292550951511404
comma_0,2.4,0.0,-174.7,24.0,123.0,5.482636372694806
comma_0,2.4,0.0,-172.6,24.0,122.7,5.418428862432716
comma_0,2.9,0.0,-157.0,24.0,115.1,4.936452542863624
comma_0,1.9,0.0,-143.4,24.0,9.4,4.541780061317295
comma_0,1.8,0.0,-154.8,24.0,0.0,4.891547153726404
comma_0,2.4,0.0,-158.7,24.0,28.3,4.997628251069673
comma_0,4.7,0.0,-113.3,87.6,6.9,4.543059881681946
comma_0,0.8,0.0,148.8,24.0,0.0,4.567387582829969
comma_0,1.5,0.0,-158.1,24.0,3.1,4.998719792017376
comma_0,1.7000000000000002,0.0,-159.3,24.0,0.0,5.030714103140581
comma_0,1.4,0.0,174.2,24.0,0.0,5.319040998842347
comma_0,1.4,0.0,168.5,24.0,0.0,5.1456700003848805
comma_0,0.7000000000000001,0.0,174.5,24.0,0.0,5.348356030112988
comma_0,1.6,0.0,-168.2,24.0,0.0,5.3039136207170126
comma_0,1.9,0.0,-176.1,24.0,0.0,5.538634066821212
comma_0,2.3,0.0,-175.5,24.0,25.8,5.512207543426264
